type	title	URL	comment	UNRELATED	NEUT	POS	NEG	GIOIA	FIDUCIA	TRISTEZZA	RABBIA	PAURA	DISGUSTO	SORPRESA	TREPIDAZIONE	SARCASM	EMOTIONS
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Non so perché ma questa ragaza mi piace molto perche ha il sorriso stampato in faccia♥️	0	0	1	0	1	1	0	0	0	0	1	0	0	LOVE - DELIGHT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	All'ariston bisbigliava, bloccatissima dall'emozione...purtroppo anche questo fa la differenza. La canzone, checché se ne dica, è valida. Magari di scarso spessore ma ha le potenzialità per diventare un tormentone.	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Purtroppo all'Ariston era veramente tanto emozionata e non è venuta troppo bene ma la versione studio spacca secondo me!	0	0	1	0	0	1	1	0	0	0	0	0	0	TRUST - SADNESS
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Sei bravissima	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Elettra sposami scrivimi in privato ❤️bona	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Solo io ho frainteso leggendo il titolo	0	1	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Sinceramente, preferisco questa versione di Elettra, voglio dire che non mostra solo diciamo il culo ma il suo bel viso e in questa versione elegante è davvero il top ♥️	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Grande musica ❤	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	ultra ricca ma con meno puzza sotto il naso di tanti artisti ... a Sanremo ogni giorno scendeva dai i suoi fan e si lasciava fare tutte le foto del mondo ... complimenti	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Io in quarantena: musica e il resto scompare	1	0	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Sempre più convinto che questo sia stato il momento più alto che ci regalerà questo 2020	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	B bravissima Elettra Lamborghini ❤️	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ha superato diodato con le vius	0	1	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Musica e il Corona virus scompare.....tutti uniti forza Italia.	0	0	1	0	1	0	0	0	0	0	0	1	0	OPTIMISM
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Tutti a criticarla per come ha cantato a Sanremo ma nessuno si è accorto di quanto fosse ammalata durante l esibizione? Io non so voi ma molti al posto suo si sarebbero ritirati invece lei ha tenuto duro e nonostante stesse in condizioni pessime ha voluto provare a mettersi in gioco.... veramente bravissima e complimenti per non aver detto sul palco delle tue condizioni e della voce che sarebbe stata provata	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Sta facendo più visual lei, che diodato	0	1	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Mettete like se vi piace questa canzone ed è bravissima E scrivete nei commenti che è bravissima	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	ELETTRA E BELLISSIMA	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	amo troppo la tua canzone, saluti dal Messico	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	la canzone è carina e orecchiabile, Elettra bellissima e il primo video che mi piace molto e legate !!	0	0	1	0	1	1	0	0	0	0	1	0	0	TRUST - DELIGHT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	secondo me Elettra ha una voce spettacolare ed in più la canzone ha un significato molto bello	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Sei bravissima ❤️❤️ ☺️	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Sei il mio idolo	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Wow brava Elettra	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	.. è sullonda solo xke si kiama lamborghini Capaci tutti	0	0	0	1	0	0	0	0	0	1	0	0	0	DISGUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	In questi commenti mancano un po' di insulti creativi: strano che a questo video non abbiamo dato un limite per i minori	0	0	0	1	0	0	1	0	0	0	1	0	0	DISAPPOINTMENT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Complimenti brava è una bella canzone. Insieme vinceremo e passerà questo brutto momento. https://youtu.be/FMY-QVoA_R4	0	0	1	0	1	1	0	0	0	0	0	1	0	TRUST - OPTIMISM
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ma quanto è bella elettra in versione vestiti eleganti??? Edit:la preferisco in questa versione♥️	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	l unica cosa bella sono i cavalli (scusate ma dovevo)	0	0	0	1	0	0	0	0	0	1	0	0	0	DISGUST
